score,affiliation
0.05,alliance
0.014285714285714287,alliance
0.023979591836734697,alliance
0.04489795918367347,alliance
0.0413265306122449,alliance
0.028571428571428574,alliance
0.0576530612244898,alliance
0.028061224489795922,alliance
0.010714285714285714,alliance
0.020918367346938777,alliance
0.019897959183673472,alliance
0.01479591836734694,alliance
0.03826530612244898,alliance
0.03316326530612245,alliance
0.017346938775510204,alliance
0.03571428571428572,alliance
0.0642857142857143,alliance
0.07448979591836735,alliance
0.047959183673469394,alliance
0.020408163265306124,alliance
0.006122448979591837,alliance
0.02295918367346939,alliance
0.025,alliance
0.018367346938775512,alliance
0.04336734693877552,alliance
0.09540816326530613,alliance
0.08010204081632653,alliance
0.030102040816326534,alliance
0.07551020408163266,alliance
0.09336734693877552,alliance
0.015306122448979593,alliance
0.011224489795918368,alliance
0.040306122448979596,alliance
0.027040816326530614,alliance
0.011224489795918368,alliance
0.009183673469387756,alliance
0.0071428571428571435,alliance
0.008673469387755102,alliance
0.00816326530612245,alliance
0.011224489795918368,alliance
0.0015306122448979593,alliance
0.008673469387755102,alliance
0.01326530612244898,alliance
0.009183673469387756,alliance
0.0035714285714285718,alliance
0.0020408163265306124,alliance
0.005102040816326531,alliance
0.004591836734693878,alliance
0.0035714285714285718,alliance
0.005102040816326531,alliance
0.0005102040816326531,alliance
0.0025510204081632655,alliance
0.0030612244897959186,alliance
0.0025510204081632655,alliance
0.0015306122448979593,alliance
0.0035714285714285718,alliance
0.0030612244897959186,alliance
0.0035714285714285718,alliance
0.0035714285714285718,alliance
0.0035714285714285718,alliance
0.004081632653061225,alliance
0.0015306122448979593,alliance
0.00816326530612245,alliance
0.012244897959183675,alliance
0.008673469387755102,alliance
0.004591836734693878,alliance
0.0015306122448979593,alliance
0.005612244897959184,alliance
0.0020408163265306124,alliance
0.005102040816326531,alliance
0.0005102040816326531,alliance
0.004081632653061225,alliance
0.0035714285714285718,alliance
0.0071428571428571435,alliance
0.0010204081632653062,alliance
0.0025510204081632655,alliance
0.0005102040816326531,alliance
0.005612244897959184,alliance
0.0035714285714285718,alliance
0.0030612244897959186,alliance
0.006122448979591837,alliance
0.0010204081632653062,alliance
0.0035714285714285718,alliance
0.005612244897959184,alliance
0.0010204081632653062,alliance
0.01326530612244898,alliance
0.006122448979591837,alliance
0.005612244897959184,alliance
0.010714285714285714,alliance
0.00969387755102041,alliance
0.0030612244897959186,alliance
0.0005102040816326531,alliance
0.0025510204081632655,alliance
0.004081632653061225,alliance
0.004591836734693878,alliance
0.0030612244897959186,alliance
0.0030612244897959186,alliance
0.0025510204081632655,alliance
0.005102040816326531,alliance
0.01938775510204082,horde
0.025510204081632654,horde
0.025,horde
0.03214285714285715,horde
0.06071428571428572,horde
0.006122448979591837,horde
0.036734693877551024,horde
0.007653061224489797,horde
0.005102040816326531,horde
0.00816326530612245,horde
0.02602040816326531,horde
0.0163265306122449,horde
0.0030612244897959186,horde
0.0030612244897959186,horde
0.021938775510204084,horde
0.030612244897959186,horde
0.11887755102040817,horde
0.02142857142857143,horde
0.011734693877551022,horde
0.048469387755102046,horde
0.013775510204081635,horde
0.015816326530612247,horde
0.0163265306122449,horde
0.02448979591836735,horde
0.011734693877551022,horde
0.011734693877551022,horde
0.0163265306122449,horde
0.009183673469387756,horde
0.005102040816326531,horde
0.09234693877551022,horde
0.019897959183673472,horde
0.030102040816326534,horde
0.03571428571428572,horde
0.015306122448979593,horde
0.06785714285714287,horde
0.022448979591836737,horde
0.011734693877551022,horde
0.023469387755102045,horde
0.05918367346938776,horde
0.03316326530612245,horde
